店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
八重洲キッチン,050-2017-3742,,東京都,中央区八重洲,1-6-1,TOFROM YAESU TOWER1F,,
八重洲ハイボールバー ヤエスハイボールバー,050-2018-0799,,東京都,中央区八重洲,1-6-1,TOFROMYAESU TOWER1F,,
完全個室完備 つむぎ蛍 秋葉原店,03-4222-3942,,東京都,千代田区神田佐久間町,1-24,GATO秋葉原ビル4F,,
全席完全個室 青森郷土料理 ねぶた屋 秋葉原店,03-4531-3622,,東京都,千代田区神田佐久間町,1-24,GATO秋葉原ビル4F,,
全席個室 じぶんどき 新宿東口駅前店,050-2018-8897,,東京都,新宿区新宿,3-36-10,ミラザビル5F,https://jibundoki.dkdining.com/shinjuku/,True
全席個室居酒屋 黒毛和牛と港直送朝獲れ鮮魚 華の粋 新橋本店,03-6380-1859,,東京都,港区新橋,3-6-1,碧山ビル2F,,
少人数貸切×記念日 meat＆wine BACCHUS,03-5289-9323,,東京都,千代田区神田東松下町,49,,,
新宿 完全個室居酒屋 あじ彩【壱号館】,03-6233-9677,,東京都,新宿区歌舞伎町,1-17-13,J1ビル5F,,
全席個室 じぶんどき 丸の内センタービル店,050-2018-8901,,東京都,千代田区丸の内,1-6-1,丸の内センタービルディングB1,https://jibundoki.dkdining.com/marunouchi_center_building/,True
鉄板焼き鳥と肉寿司 個室UMIバル×肉酒場 310 秋葉原店,03-6384-0010,,東京都,千代田区神田佐久間町,1-19,山中ビル2F,,
個室Dining SHINSOUEN‐新荘園‐ 飯田橋店,03-6380-8879,,東京都,千代田区飯田橋,3-10-9,アイガーデンテラス2F,https://shinsouen.jp/index.html,True
全席個室 和食や あたらよ 新宿東口駅前店,050-2018-8909,,東京都,新宿区新宿,3-26-6,FFビル8F,https://atarayo.dkdining.com/shinjuku/,True
全席個室 楽蔵うたげ 品川港南口店,050-2018-8870,,東京都,港区湊南,2-5-14,CANALE品川8F,https://rakuzo.dkdining.com/shinagawa/,True
WAGYU YAKINIKU ‐SHOGUN‐ Shibuya,03-6416-4336,,東京都,渋谷区宇田川町,13-8,ちとせ会館3F,,
